ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Составитель,Тип обложки,Тираж,Формат,Художник,Цена
360505,2179151,9785170507832,Пушкин А.,,2008,0,АСТ,380,Капитанская дочка,https://img-gorod.ru/upload/iblock/31d/31d3f72a5f3c0399a40a233e370df438.jpg,,Овчинникова Е. Ю.,0,Внеклассное чтение,,Твердая глянцевая,,20.8 x 13.7 x 2.1,,211
361045,2211367,9785170603718,Пушкин А.,,2009,0,АСТ,413,Повести покойного Ивана Петровича Белкина...,https://img-gorod.ru/upload/iblock/6ef/6ef698f424313c94f0a746bb30df608f.jpg,,Овчинникова Е. Ю.,0,Классика,,Мягкая глянцевая,,18 x 11.6 x 1.9,,
361184,2294999,9785699528059,Пушкин А.,,2011,0,Эксмо,560,История Российская,https://img-gorod.ru/upload/iblock/0cd/0cd71ec3dee1f149ae2fb399c4b9f72f.jpg,,Манягин В.,0,Подлинная история Руси,,Твердая бумажная,,21 x 14 x 4,,519
361429,2323631,9785783316845,Пушкин А.,,2012,0,Фламинго,31,Сказка о золотом Петушке,https://img-gorod.ru/upload/iblock/61f/61f3e4875a73aeb930fd61ec9a7d50c3.jpg,,,0,,,Твердая бумажная,15000,22.2 x 17.2 x 0.5,,71
364272,2326370,9785373047432,Пушкин А.,,2012,0,Олма Медиагрупп,304,"И жизнь, и слезы, и любовь…",https://img-gorod.ru/upload/iblock/eeb/eeba49beae08f144e46edd6dabcc996f.jpg,,,0,Классика Лучшее из великого,,"Твердая, ткань",3000,26 x 19.5 x 2,,
365080,2327427,9785883534866,Пушкин А.,,2012,0,Книжный клуб семейного досуга Харьков,192,Капитанская дочка,https://img-gorod.ru/upload/iblock/819/81951020c3a142c7dbfd5fbd4ccb0099.jpg,,,0,Классика в кармане,,Мягкая глянцевая,5000,18 x 11.4 x 0.7,"Соколов Павел, Ламот А.",114
365273,1887873,9785329008418,Пушкин А.,,2012,0,Оникс,64,Сказка о рыбаке и рыбке,https://img-gorod.ru/upload/iblock/563/563e5470e340b78003a6aa786e00dc67.jpg,,,0,Библиотечка детской классики,,Твердая глянцевая,4000,21.7 x 14.6 x 0.7,,110
368665,2331782,9785699886050,Пушкин А.,16+,2016,0,Эксмо,640,Капитанская дочка. Повести. Драматические произведения,https://img-gorod.ru/upload/iblock/e25/e25125266e5a66484552ba92802f6dec.jpg,,,0,Библиотека всемирной литературы,,Суперобложка,3000,20.5 x 13.3 x 3,,353
369092,2325229,9785389043930,Пушкин А.,,2012,0,Махаон,56,Сказка о рыбаке и рыбке,https://img-gorod.ru/upload/iblock/2f7/2f79b1ed4eda248a2a3d5c175cddf435.jpg,,Евстратова Александра,0,Сказки в красках,,Твердая бумажная,5000,28 x 22 x 1,Челушкин Кирилл,155
369136,2325325,9785904623975,Пушкин А.,,2012,0,Доброе слово,36,"Сказка о царе Салтане, о сыне его славном и могучем богатыре князе Гвидоне Салановиче и о прекрасной царевне Лебеди",https://img-gorod.ru/upload/iblock/20d/20deb68fa3008faef298c23431416c27.jpg,,,0,Сказки А.С. Пушкина,,Мягкая глянцевая,10000,29 x 20.4 x 0.4,,101
369580,2332339,9785910454983,Пушкин А.,,2012,0,ИД Мещерякова,32,Сказка о попе и о работнике его Балде,https://img-gorod.ru/upload/iblock/405/405414f64256b2425526a0183fc42d74.jpg,,Мещеряков Вадим Юрьевич,0,Библиотечка Тридевятого царства,,Твердая бумажная,5000,29.6 x 22.2 x 0.9,Милашевский Владимир Алексеевич,
371938,2336164,9785271445200,Пушкин А.,,2012,0,Астрель,,Сказки,https://img-gorod.ru/upload/iblock/3cd/3cd51c34ecf320ee74c07b9aed0e2f0c.jpg,,,0,Планета детства,,Твердая бумажная,4000,33.8 x 24.5 x 1.3,Майофис Михаил Соломонович,152
373759,2339304,9785080049040,Пушкин А.,6+,2016,0,Детская литература,31,"Очей очарованье. Стихотворения и отрывки из романа ""Евгений Онегин"" и поэмы ""Цыганы""",https://img-gorod.ru/upload/iblock/c0a/c0ad64d3bdfb574f5a01236d12a9670e.jpg,,,0,Книга за книгой,,Мягкая бумажная,2000,23.5 x 16.2 x 0.2,,71
374515,2338467,9785445300199,Пушкин А.,,2012,0,Лениздат,320,Капитанская дочка. Избранная проза,https://img-gorod.ru/upload/iblock/0b8/0b8f9798f32beb80949d55e269ced15f.jpg,,,0,Лениздат-классика,,Мягкая бумажная,3000,18 x 12 x 1.2,,
374576,2338530,9785445300663,Пушкин А.,,2012,0,Лениздат,224,Я помню чудное мгновенье. Стихотворения,https://img-gorod.ru/upload/iblock/767/7677ecfb35f45de8c23bff9fc0a2057e.jpg,,,0,Лениздат-классика,,Мягкая бумажная,4500,18 x 12 x 1.2,,116
374586,2338541,9785905799853,Пушкин А.,,2012,0,Лениздат,352,Евгений Онегин,https://img-gorod.ru/upload/iblock/929/92992f9f7b5a97d4ee27e3acd305e535.jpg,,,0,Лениздат-классика,,Мягкая бумажная,3000,18 x 12 x 1.3,,116
375190,2340326,9785271443541,Пушкин А.,,2012,0,Астрель,96,Сказки,https://img-gorod.ru/upload/iblock/1e6/1e6f9e5ba26bfbefbc3a8981fa21b4a1.jpg,,Коненкина Г.,0,,,Твердая глянцевая,3000,28.8 x 21.7 x 1.1,Майофис Михаил Соломонович,277
375355,2340406,9785353059240,Пушкин А.,,2012,0,Росмэн,128,Руслан и Людмила. Поэма,https://img-gorod.ru/upload/iblock/313/313ca1e83cbc30d12b2299a3bf44f3fd.jpg,,,0,,,Твердая бумажная,,31 x 24.6 x 1.3,,477
375358,2340409,9785353058670,Пушкин А.,,2012,0,Росмэн,144,Сказки,https://img-gorod.ru/upload/iblock/663/663feae97fef40964925ef47c72884b4.jpg,,,0,,,"Твердая, ткань",,30.8 x 24.2 x 1.2,,1042
375928,2340307,9785961419542,Пушкин А.,,2012,0,Альпина Паблишер,376,Правовой режим иностранных инвестиций в Российской Федерации. 2-е издание,https://img-gorod.ru/upload/iblock/8f5/8f5555168ca1f8054c277a6a8fc731c6.jpg,,,0,Библиотека Tenzor Consulting Group,,Твердая бумажная,1000,21.5 x 14.5 x 2.4,,575
376082,2340894,9785170771585,Пушкин А.,,2013,0,АСТ,468,Евгений Онегин. Капитанская дочка,https://img-gorod.ru/upload/iblock/5c8/5c8ec9291cf9b0cf7ce5ead14bbb8aa0.jpg,,Бастиан Филипп,0,Мировые шедевры Иллюстрированное издание,,Твердая глянцевая,3000,24.1 x 17 x 2.7,Павлова Марина,317
376267,2341586,9785813810718,Пушкин А.,,2012,0,Русич,272,Сказки,https://img-gorod.ru/upload/iblock/6b3/6b3f0d9a7f754703d9475efe56849c7b.jpg,,Комзалова Т. А.,0,,,Твердая бумажная,5000,21.5 x 17 x 2,"Ковалева О., Прапорщик В. В.",330
376494,2341763,9785904623951,Пушкин А.,,2012,0,Доброе слово,36,Сказка о мертвой царевне и о семи богатырях,https://img-gorod.ru/upload/iblock/30e/30e41be93ab423155f127f9ca49235d9.jpg,,,0,Сказки А.С. Пушкина,,Мягкая глянцевая,10000,28.7 x 20.3 x 0.3,,
377002,2342347,9785919821847,Пушкин А.,,2013,0,Клевер,,Сказка о рыбаке и рыбке,https://img-gorod.ru/upload/iblock/965/965ff328ddd6d1c82b952936aed5b27c.jpg,,Измайлова Е.,0,Золотой фонд всемирной детской литературы,,Твердая бумажная,7000,21.5 x 17.5 x 0.6,"Богатов Н. А., Нестеров М. В.",204
377003,2342348,9785919821823,Пушкин А.,0+,2013,0,Клевер,,Сказка о золотом петушке,https://img-gorod.ru/upload/iblock/f44/f448dd2ea170bfb0dbf55845e35b233f.jpg,,Измайлова Е.,0,Золотой фонд всемирной детской литературы,,Твердая бумажная,6500,21.5 x 17.5 x 0.6,,204
377009,2342354,9785919821816,Пушкин А.,0+,2013,0,Клевер,,Сказка о мертвой царевне и о семи богатырях,https://img-gorod.ru/upload/iblock/505/505c83dad784b16da4e1789994d5c7c8.jpg,,,0,Золотой фонд всемирной детской литературы,,Твердая бумажная,6000,21.5 x 17.5 x 0.6,Бартрам Н. Д.,204
377010,2342355,9785919821830,Пушкин А.,0+,2013,0,Клевер,,Сказка о попе и о работнике его Балде,https://img-gorod.ru/upload/iblock/0ae/0aea40a00d0baf6b776dacedacf61984.jpg,,,0,Золотой фонд всемирной детской литературы,,Твердая бумажная,6000,21.5 x 17.5 x 0.6,"Нестеров Михаил Васильевич, Буторин Д. Н., Спасский В. В.",204
377013,2342358,9785919821854,Пушкин А.,0+,2013,0,Клевер,,"Сказка о царе Салтане, о сыне его славном и могучем богатыре князе Гвидоне Салтановиче и о прекрасной царевне Лебеди",https://img-gorod.ru/upload/iblock/8ba/8ba17a4ac5a26ee81e5ff8f571d8b4f1.jpg,,,0,Золотой фонд всемирной детской литературы,,Твердая бумажная,6500,21.6 x 17.5 x 0.8,"Соломко С. С., Богатова Н. А.",204
377018,2342363,9785919821472,Пушкин А.,0+,2013,0,Клевер,,Сказки: Сказка о золотом петушке. Сказка о мертвой царевне и о семи богатырях. Сказка о попе и работнике его Балде. Сказка о рыбаке и рыбке. Сказка о царе Салтане. (комплект из 5 книг),https://img-gorod.ru/upload/iblock/d83/d83470f61faf8c10a6b59bc92018fb0c.jpg,,Измайлова Е.,0,Шкатулка со сказками,,Мягкая бумажная,,18.5 x 22.3 x 3.8,"Буторин Д. Н., Нестеров М. В., Спасский В. В. , Богатова Н. А., Соломко С. С., Бартрам Н. Д.",1170
379402,2319958,9785386032050,Пушкин А.,,2011,0,Рипол-Классик,40,Сказка о царе Салтане,https://img-gorod.ru/upload/iblock/ec4/ec4d60e731172a3744ab6a7145e01c54.jpg,,Кузьминых Ю.,0,Шедевры книжной иллюстрации mini,,Твердая бумажная,15000,22 x 17 x 0.6,Спирин Геннадий Константинович,
379737,2195817,9785379010478,Пушкин А.,,2009,0,Сибирское университетское издательство. Новосибирс,141,Пушкин Поэмы,https://img-gorod.ru/upload/iblock/f77/f77c8edf88ace90ac930c683123a5f07.jpg,,,0,Русская литература,,Мягкая глянцевая,,21 x 14 x 0.5,,57
379757,2198996,9785379010799,Пушкин А.,,2009,0,Сибирское университетское издательство. Новосибирс,160,Борис Годунов Маленькие трагедии,https://img-gorod.ru/upload/iblock/8c0/8c0d7ce02794e3076fe7fc08966e0ba8.jpg,,,0,Русская литература,,Мягкая глянцевая,,21 x 14 x 0.8,,57
381719,2183606,9785170507818,Пушкин А.,,2008,0,АСТ,701,Евгений Онегин Драматургия Проза,https://img-gorod.ru/upload/iblock/ee7/ee7af5fb9618586112623987ae846054.jpg,,,0,Золотая классика,,Твердая бумажная,,21 x 13.5 x 3.6,,197
382096,2346026,9785378080946,Пушкин А.,,2012,0,Проф-пресс,144,Сказки А.С. Пушкина,https://img-gorod.ru/upload/iblock/2a9/2a97124e12a837e556d7df557699273a.jpg,,,0,Для маленьких друзей,,Твердая бумажная,10000,29.5 x 24 x 1.3,Кравец Юрий,409
