ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
814676,2456831,9785699742509,Емец Д.,12+,2015,0,Эксмо,352,Месть мертвого императора,,,,0,Веселые каникулы. Повести для школьников,Твердая бумажная,3000,21.8 x 14.3 x 2.3,,251
815445,2457125,9785699773848,Емец Д.,16+,2015,1,Эксмо,448,Мефодий Буслаев. Ошибка грифона,,,,5,Мефодий Буслаев,Твердая глянцевая,18000,20.6 x 13.2 x 2.8,,319
816107,2457425,9785170887262,Фрай М.,16+,2015,8,АСТ,384,Наваждения,,,,4,Лабиринты Ехо,Твердая бумажная,4000,20.6 x 13 x 2.2,,359
818391,2458750,9785170887651,Фрай М.,16+,2015,5,АСТ,384,Власть несбывшегося,,,,4,Лабиринты Ехо,Твердая бумажная,4000,20.6 x 13 x 2.2,,359
820823,2460377,9785170888399,Фрай М.,18+,2015,5,АСТ,448,Мой Рагнарек,,,Фрай Макс,5,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13.1 x 2.4,,359
820951,2115345,5699185739,Емец Д.,,2007,0,Эксмо,352,Королева мутантиков,,,,0,Волшебные миры Дмитрия Емца,Твердая бумажная,,20.6 x 13.6 x 2.4,,133
822310,2461602,9785373074476,Хантер Э.,6+,2018,3,Абрис,348,Тьма наступает,,Максимова Вероника,,4,Хроники Стаи,Твердая бумажная,10000,20.6 x 12.8 x 1.75,Соколова Наталья,285
822874,2462009,9785170898299,Фрай М.,16+,2015,3,АСТ,608,Болтливый мертвец,,,,5,Лабиринты Ехо,Твердая бумажная,4000,20.6 x 13 x 3.35,,359
824732,2463331,9785170893034,Фрай М.,16+,2015,3,АСТ,416,"Ветры, ангелы и люди",,,,4,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13 x 2.4,,359
825450,2084261,5367001289,Фрай М.,,2006,0,"Амфора, ООО",382,Сказки и истории,,,,0,,Твердая бумажная,,,,
826834,2159176,9785699271627,Емец Д.,,2008,0,Эксмо,320,Король хитрости,,,,0,Волшебные миры Дмитрия Емца,Твердая бумажная,,20.5 x 13.5 x 2.3,,
828740,2465919,9785170902071,Фрай М.,16+,2015,2,АСТ,416,Лабиринт Менина,,,,5,Лабиринты Ехо,Твердая бумажная,5000,20.7 x 13 x 2.5,,356
831871,2467330,9785170902088,Фрай М.,16+,2015,5,АСТ,256,О любви и смерти,,,,4,Миры Макса Фрая,Твердая глянцевая,15000,20.5 x 19.3 x 1.5,,342
833825,2468830,9785699807925,Емец Д.,6+,2015,1,Эксмо,256,Бунт пупсиков,,,,5,Моя большая семья,Твердая бумажная,5000,21.7 x 17 x 2,,234
833826,2468831,9785699799220,Емец Д.,6+,2015,0,Эксмо,256,Бунт пупсиков,,,,0,Моя большая семья,Твердая бумажная,4000,21.7 x 17 x 2,,234
839265,2471793,9785170906628,Фрай М.,18+,2015,3,АСТ,576,Гнезда Химер. Хроники Хугайды,,,,4,Миры Макса Фрая,Твердая глянцевая,4000,20.6 x 12.9 x 3.2,,359
840903,2472610,9785373076128,Хантер Э.,6+,2018,4,Олма Медиагрупп,320,Тайна Щербатой. Предназначение,,,,4,Коты-воители,Твердая бумажная,12000,20.5 x 13 x 1.5,,285
841682,2144860,9785699251636,Емец Д.,,2008,0,Эксмо,320,Галактический зверинец Повесть,,,,0,Волшебные миры Дмитрия Емца,Твердая бумажная,,20.7 x 13.5 x 2.1,,
843835,2474577,9785170905430,Фрай М.,16+,2015,4,АСТ,320,Чуб земли,,,,5,Хроники Ехо,Твердая бумажная,5000,20.5 x 13 x 2,,356
845177,2475050,9785373074865,Хантер Э.,6+,2017,0,Олма Медиагрупп,192,Память племен,,Максимова Вероника,,0,Коты-воители. Подарок,Твердая глянцевая,7000,24 x 17 x 1.5,Насыров Леонид,530
847078,2476684,9785170923212,Фрай М.,16+,2015,1,АСТ,320,Властелин Морморы,,,,5,Хроники Ехо,Твердая бумажная,5000,20.7 x 13 x 2,,356
848555,2477910,9785699816286,Емец Д.,6+,2015,0,Эксмо,352,Заступники земли русской. Роман,,,,0,Заступники земли русской,Твердая бумажная,5000,21.6 x 17 x 2.5,,311
848994,2478311,9785170925063,Фрай М.,18+,2015,4,АСТ,416,Большая телега,,,,4,Миры Макса Фрая,Твердая глянцевая,4000,20.5 x 13 x 2,,356
850216,2478871,9785170922956,Фрай М.,16+,2015,8,АСТ,448,Вся правда о нас,,,,5,Сновидения Ехо,Твердая бумажная,27000,20.7 x 13.3 x 2,,359
850903,2479506,9785699819669,Емец Д.,16+,2015,1,Эксмо,384,Глоток огня,,,,5,Школа ныряльщиков (Шныр),Твердая бумажная,7000,20.6 x 13 x 2.3,,323
854712,1897635,5699049134,Емец Д.,,2004,0,Эксмо-Пресс,320,НЛО прибывает по расписанию,,,,0,От создателя Тани Гроттер,Твердая глянцевая,11000,20.5 x 13 x 2,,
855443,2482642,9785170924554,Фрай М.,16+,2015,2,АСТ,320,Неуловимый Хабба Хэн,,,Фрай Макс,5,Хроники Ехо,Твердая бумажная,5000,20.7 x 13.2 x 2,,356
856230,2483548,9785699832262,Емец Д.,12+,2015,0,Эксмо,320,Город динозавров,,,,0,Здесь водятся динозавры,Твердая бумажная,3000,22 x 14.3 x 2,,285
857607,2484524,9785170905751,Фрай М.,18+,2015,2,АСТ,576,Гнезда химер. Хроники Оветганны,,,,5,Миры Макса Фрая,Твердая бумажная,4000,20.5 x 13 x 3,,314
857977,2483906,9785373077255,Хантер Э.,6+,2017,1,Олма Медиагрупп,348,Тайна Щербатой. Книга II. Наказание,,,,5,Коты-воители,Твердая бумажная,12000,20.6 x 13.1 x 1.9,,303
859271,2486179,9785699816378,Емец Д.,12+,2015,8,Эксмо,384,Таня Гроттер и магический контрабас,,,,3,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.5 x 2.2,,354
859272,2486180,9785699816439,Емец Д.,12+,2015,1,Эксмо,352,Таня Гроттер и Золотая Пиявка,,,,3,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.5 x 2.2,,354
859273,2486181,9785699816392,Емец Д.,12+,2015,3,Эксмо,352,Таня Гроттер и Исчезающий Этаж,,,,4,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.5 x 2.2,,354
860114,2486793,9785170924561,Фрай М.,16+,2015,7,АСТ,352,"Ворона на мосту. История, рассказанная сэром Шурфом Лонли-Локли",,,,4,Хроники Ехо,Твердая бумажная,4000,20.7 x 13 x 2,,359
